,adult,budget,genres,imdb_id,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross
31,False,29500000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",tt0114746,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]",1995-12-29,168840000.0,129.0,1.0,1.0
33,False,30000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0112431,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Kennedy Miller Productions', 'id': 2537}]",1995-07-18,254134910.0,89.0,1.0,1.0
35,False,11000000.0,"[{'id': 18, 'name': 'Drama'}]",tt0112818,"[{'name': 'Havoc', 'id': 406}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]",1995-12-29,39363635.0,122.0,1.0,1.0
43,False,18000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",tt0113855,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]",1995-08-18,122195920.0,101.0,1.0,1.0
44,False,20000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",tt0114681,"[{'name': 'The Rank Organisation', 'id': 364}, {'name': 'Columbia Pictures Corporation', 'id': 441}]",1995-05-20,21284514.0,106.0,1.0,1.0
45,False,10000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0113347,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",1995-10-06,23574130.0,116.0,1.0,1.0
46,False,33000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0114369,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]",1995-09-22,327311859.0,127.0,1.0,1.0
47,False,55000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",tt0114148,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]",1995-06-14,346079773.0,81.0,1.0,1.0
49,False,6000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0114814,"[{'name': 'Blue Parrot Productions', 'id': 361}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]",1995-07-19,23341568.0,106.0,1.0,1.0
51,False,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0113819,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Magnolia Pictures', 'id': 1030}]",1995-09-13,6700000.0,95.0,1.0,1.0
68,False,3500000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0113118,"[{'name': 'New Line Cinema', 'id': 12}]",1995-04-26,28215918.0,91.0,1.0,1.0
69,False,19000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",tt0116367,"[{'name': 'A Band Apart', 'id': 59}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Los Hooligans Productions', 'id': 11705}, {'name': 'Miramax', 'id': 53009}]",1996-01-19,25836616.0,108.0,1.0,1.0
70,False,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",tt0113010,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",1995-11-03,11534477.0,91.0,1.0,1.0
74,False,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0115676,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",1996-01-26,2042530.0,90.0,1.0,1.0
75,False,20000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",tt0114367,"[{'name': 'The Movie Network (TMN)', 'id': 3388}, {'name': 'Allegro Films', 'id': 4899}, {'name': 'Fuji Eight Company Ltd.', 'id': 7958}, {'name': 'Fries Film Group', 'id': 23096}, {'name': 'Super Ecran', 'id': 23097}, {'name': 'Triumph Films', 'id': 23098}]",1995-09-08,5781885.0,108.0,1.0,1.0
80,False,8000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0114660,"[{'name': 'Miramax Films', 'id': 14}]",1995-12-01,529766.0,116.0,1.0,1.0
85,False,38000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",tt0118158,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'Scott Free Productions', 'id': 1645}]",1996-02-02,10300000.0,129.0,1.0,1.0
88,False,8169363.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0113972,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-11-22,8175346.0,90.0,1.0,1.0
90,False,47000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",tt0117002,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'NFH Productions', 'id': 18737}]",1996-02-23,12379402.0,104.0,1.0,1.0
91,False,14000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",tt0114825,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-10-26,19800000.0,100.0,1.0,1.0
93,False,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0115759,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'WCG Entertainment Productions', 'id': 456}, {'name': 'Mark Gordon Productions', 'id': 11362}]",1996-02-09,150270147.0,108.0,1.0,1.0
99,False,7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt0115734,"[{'name': 'Gracie Films', 'id': 18}, {'name': 'Columbia Pictures Corporation', 'id': 441}]",1996-02-21,560069.0,91.0,1.0,1.0
102,False,12000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0116483,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Brillstein-Grey Entertainment', 'id': 1606}, {'name': 'Robert Simonds Productions', 'id': 3929}]",1996-02-16,41205099.0,92.0,1.0,1.0
103,False,24000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0112579,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",1995-05-28,182016617.0,135.0,1.0,1.0
108,False,72000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",tt0112573,"[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'The Ladd Company', 'id': 7965}, {'name': 'B.H. Finance C.V.', 'id': 11353}]",1995-05-24,210000000.0,177.0,1.0,1.0
117,False,25000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0114536,"[{'name': 'Savoy Pictures', 'id': 11308}]",1995-09-29,6278139.0,113.0,1.0,1.0
120,False,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0103859,"[{'name': 'Paramount Pictures', 'id': 4}]",1992-06-30,70100000.0,117.0,1.0,1.0
123,False,7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",tt0116324,"[{'name': 'Miramax Films', 'id': 14}]",1996-03-22,14702438.0,92.0,1.0,1.0
130,False,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",tt0113451,"[{'name': 'Paramount Pictures', 'id': 4}]",1995-10-13,9851610.0,95.0,1.0,1.0
139,False,31000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0115685,"[{'name': 'United Artists', 'id': 60}]",1996-03-08,185260553.0,117.0,1.0,1.0
142,False,19000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0112442,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",1995-04-07,141407024.0,118.0,1.0,1.0
145,False,4000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt0112427,"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'BBC', 'id': 5996}, {'name': 'British Screen Productions', 'id': 12745}, {'name': 'Portman Productions', 'id': 16027}]",1995-07-21,851545.0,113.0,1.0,1.0
147,False,52000000.0,"[{'id': 18, 'name': 'Drama'}]",tt0112384,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]",1995-06-30,355237933.0,140.0,1.0,1.0
148,False,28000000.0,"[{'id': 12, 'name': 'Adventure'}]",tt0114287,"[{'name': 'United Artists', 'id': 60}, {'name': 'Talisman Productions', 'id': 8989}]",1995-04-13,31596911.0,139.0,1.0,1.0
150,False,100000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",tt0112462,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}]",1995-06-16,336529144.0,121.0,1.0,1.0
153,False,2000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0112541,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'InterAL', 'id': 30334}]",1995-09-15,1275000.0,83.0,1.0,1.0
154,False,11000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",tt0109370,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}]",1995-06-08,178104.0,91.0,1.0,1.0
155,False,50000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0112642,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'The Harvey Entertainment Company', 'id': 11098}]",1995-05-26,287928194.0,100.0,1.0,1.0
156,False,25000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt0112688,"[{'name': 'Universal Pictures', 'id': 33}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}]",1995-09-15,13071518.0,128.0,1.0,1.0
157,False,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0112715,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}]",1995-06-09,152022101.0,109.0,1.0,1.0
158,False,53000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt0112740,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",1995-05-12,157387195.0,116.0,1.0,1.0
160,False,7000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",tt0112851,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Los Hooligans Productions', 'id': 11705}]",1995-08-25,25405445.0,104.0,1.0,1.0
161,False,27000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0112857,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mundy Lane Entertainment', 'id': 2510}]",1995-09-15,16140822.0,102.0,1.0,1.0
162,False,90000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0112864,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-05-19,366101666.0,128.0,1.0,1.0
165,False,55000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0113071,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'First Knight Productions', 'id': 10158}]",1995-07-07,127600435.0,134.0,1.0,1.0
167,False,20000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt0113243,"[{'name': 'United Artists', 'id': 60}, {'name': 'Suftley', 'id': 87394}]",1995-09-14,7563728.0,107.0,1.0,1.0
169,False,25000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0113481,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Alliance Communications Corporation', 'id': 2480}]",1995-05-26,19075720.0,97.0,1.0,1.0
170,False,90000000.0,"[{'id': 878, 'name': 'Science Fiction'}]",tt0113492,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-06-30,113493481.0,96.0,1.0,1.0
172,False,1500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0113540,"[{'name': 'Miramax Films', 'id': 14}]",1995-07-28,7412216.0,91.0,1.0,1.0
173,False,500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt0113677,"[{'name': 'JDI productions', 'id': 13187}, {'name': 'Lemon Sky Productions', 'id': 13190}]",1995-01-20,1148752.0,89.0,1.0,1.0
177,False,6000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt0113749,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Alphaville Films', 'id': 11462}, {'name': 'View Askew Productions', 'id': 16934}]",1995-10-20,2122561.0,94.0,1.0,1.0
178,False,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0113820,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Saban Entertainment', 'id': 2106}, {'name': 'Toei Company', 'id': 9255}]",1995-06-30,66000000.0,92.0,1.0,1.0
180,False,2.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",tt0110604,"[{'name': 'Comet Film Produktion GmbH', 'id': 16561}, {'name': 'Avrora Media', 'id': 38959}, {'name': 'Cobblestone Pictures', 'id': 38960}]",1995-09-28,1.0,95.0,1.0,1.0
182,False,22000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",tt0113957,"[{'name': 'Columbia Pictures', 'id': 5}]",1995-07-28,110627965.0,114.0,1.0,1.0
184,False,150000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0114095,"[{'name': 'Party Productions', 'id': 37890}]",1995-06-09,472370.0,94.0,1.0,1.0
185,False,8.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt0114194,"[{'name': 'Dimension Films', 'id': 7405}]",1995-09-01,16.0,98.0,1.0,1.0
188,False,50000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",tt0114345,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-10-13,10382407.0,135.0,1.0,1.0
190,False,45000000.0,"[{'id': 18, 'name': 'Drama'}]",tt0114436,"[{'name': 'United Artists', 'id': 60}, {'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Carolco Pictures', 'id': 14723}]",1995-09-22,20350754.0,128.0,1.0,1.0
191,False,7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0114478,"[{'name': 'Miramax Films', 'id': 14}]",1995-06-09,8349430.0,112.0,1.0,1.0
193,False,35000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",tt0114508,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1995-07-07,113374103.0,108.0,1.0,1.0
195,False,42000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0114558,"[{'name': 'Lightstorm Entertainment', 'id': 574}]",1995-10-13,7959291.0,145.0,1.0,1.0
197,False,14000000.0,"[{'id': 53, 'name': 'Thriller'}]",tt0114666,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Interscope Communications', 'id': 10201}]",1995-09-08,5780000.0,99.0,1.0,1.0
201,False,60000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0114781,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Seagal/Nasso Productions', 'id': 17825}, {'name': 'Victor Company of Japan (JVC)', 'id': 21480}, {'name': 'Cutting Edge Films', 'id': 63906}]",1995-07-13,104324083.0,100.0,1.0,1.0
204,False,20000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114887,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Zucker Brothers Productions', 'id': 2851}]",1995-08-11,50012507.0,103.0,1.0,1.0
205,False,175000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",tt0114898,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gordon Company', 'id': 1073}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Licht/Mueller Film Corporation', 'id': 6092}]",1995-07-28,264218220.0,135.0,1.0,1.0
212,False,2500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0112471,"[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",1995-01-27,5535405.0,105.0,1.0,1.0
213,False,10000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0112508,"[{'name': 'Jack Giarraputo Productions', 'id': 6365}]",1995-02-10,26488734.0,89.0,1.0,1.0
215,False,21000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0112571,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Alcor Films', 'id': 644}, {'name': 'Canal+', 'id': 5358}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Hera Productions', 'id': 16192}]",1995-02-03,23450000.0,115.0,1.0,1.0
219,False,27000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0109445,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'View Askew Productions', 'id': 16934}]",1994-09-13,3151130.0,92.0,1.0,1.0
220,False,25000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt0112883,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'American Zoetrope', 'id': 70}]",1994-10-01,22200000.0,97.0,1.0,1.0
221,False,55000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",tt0109635,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Baltimore Pictures', 'id': 11407}]",1994-12-09,214015089.0,123.0,1.0,1.0
227,False,16000000.0,"[{'id': 35, 'name': 'Comedy'}]",tt0109686,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Motion Picture Corporation of America (MPCA)', 'id': 11061}]",1994-12-16,247275374.0,107.0,1.0,1.0
231,False,18000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",tt0109707,"[{'name': 'Touchstone Pictures', 'id': 9195}]",1994-09-27,5887457.0,127.0,1.0,1.0
